Title,Price,Availability,Rating,Category
A Light in the Attic,51.77,In Stock,3,Books
Tipping the Velvet,53.74,In Stock,1,Books
Soumission,50.1,In Stock,1,Books
Sharp Objects,47.82,In Stock,4,Books
Sapiens: A Brief History of Humankind,54.23,In Stock,5,Books
The Requiem Red,22.65,In Stock,1,Books
The Dirty Little Secrets of Getting Your Dream Job,33.34,In Stock,4,Books
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In Stock,3,Books
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In Stock,4,Books
The Black Maria,52.15,In Stock,1,Books
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In Stock,2,Books
Shakespeare's Sonnets,20.66,In Stock,4,Books
Set Me Free,17.46,In Stock,5,Books
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In Stock,5,Books
Rip it Up and Start Again,35.02,In Stock,5,Books
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In Stock,3,Books
Olio,23.88,In Stock,1,Books
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In Stock,1,Books
Libertarianism for Beginners,51.33,In Stock,2,Books
It's Only the Himalayas,45.17,In Stock,2,Books
In Her Wake,12.84,In Stock,1,Books
How Music Works,37.32,In Stock,2,Books
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,In Stock,3,Books
Chase Me (Paris Nights #2),25.27,In Stock,5,Books
Black Dust,34.53,In Stock,5,Books
Birdsong: A Story in Pictures,54.64,In Stock,3,Books
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,In Stock,3,Books
Aladdin and His Wonderful Lamp,53.13,In Stock,3,Books
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,In Stock,5,Books
Wall and Piece,44.18,In Stock,4,Books
The Four Agreements: A Practical Guide to Personal Freedom,17.66,In Stock,5,Books
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,In Stock,3,Books
The Elephant Tree,23.82,In Stock,5,Books
The Bear and the Piano,36.89,In Stock,1,Books
Sophie's World,15.94,In Stock,5,Books
Penny Maybe,33.29,In Stock,3,Books
Maude (1883-1993):She Grew Up with the country,18.02,In Stock,2,Books
"In a Dark, Dark Wood",19.63,In Stock,1,Books
Behind Closed Doors,52.22,In Stock,4,Books
You can't bury them all: Poems,33.63,In Stock,2,Books
Slow States of Collapse: Poems,57.31,In Stock,3,Books
Reasons to Stay Alive,26.41,In Stock,2,Books
Private Paris (Private #10),47.61,In Stock,5,Books
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,In Stock,5,Books
Without Borders (Wanderlove #1),45.07,In Stock,2,Books
When We Collided,31.77,In Stock,1,Books
"We Love You, Charlie Freeman",50.27,In Stock,5,Books
Untitled Collection: Sabbath Poems 2014,14.27,In Stock,4,Books
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,In Stock,4,Books
Unicorn Tracks,18.78,In Stock,3,Books
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,In Stock,1,Books
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,In Stock,1,Books
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,In Stock,3,Books
This One Summer,19.49,In Stock,4,Books
Thirst,17.27,In Stock,5,Books
The Torch Is Passed: A Harding Family Story,19.09,In Stock,1,Books
The Secret of Dreadwillow Carse,56.13,In Stock,1,Books
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,In Stock,1,Books
The Past Never Ends,56.5,In Stock,4,Books
The Natural History of Us (The Fine Art of Pretending #2),45.22,In Stock,3,Books
